"pt_id"	"type"	"prep_no"	"sort_well"	"sort_plate"	"FACS_code"	"uniquely_mapped_percent"	"num_splices"	"num_GCAG_splices"	"insertion_length"	"deletion_length"	"unmapped_tooshort_percent"	"avg_mapped_read_length"	"deletion_rate"	"mismatch_rate"	"avg_input_read_length"	"num_ATAC_splices"	"num_annotated_splices"	"num_GTAG_splices"	"uniquely_mapped"	"multimapped_toomany"	"unmapped_mismatches"	"unmapped_mismatches_percent"	"total_reads"	"unmapped_other"	"insertion_rate"	"unmapped_other_percent"	"multimapped_percent"	"multimapped"	"num_noncanonical_splices"	"unmapped_tooshort"	"multimapped_toomany_percent"	"Assigned"	"Unassigned_Unmapped"	"Unassigned_MappingQuality"	"Unassigned_Chimera"	"Unassigned_FragmentLength"	"Unassigned_Duplicate"	"Unassigned_MultiMapping"	"Unassigned_Secondary"	"Unassigned_NonSplit"	"Unassigned_NoFeatures"	"Unassigned_Overlapping_Length"	"Unassigned_Ambiguity"
"7205_PRI_20_A4_P2"	"7205"	"PRI"	20	"A4"	"P2"	"CD56+ CD127-"	65.78	236624	1799	1.33	1.69	9.83	245.89	0.01	0.34	249	192	228185	231957	852970	277	0	0	1296695	1038	0.01	0.08	24.28	314880	2676	127530	0.02	421880	0	0	0	0	381773	505238	0	0	218159	0	14288
"7205_PRI_20_A5_P2"	"7205"	"PRI"	20	"A5"	"P2"	"CD56+ CD127-"	73.53	144886	965	1.34	1.66	10.24	245.85	0.01	0.33	249	237	138518	142454	528295	80	0	0	718450	287	0.01	0.04	16.17	116194	1230	73594	0.01	268646	0	0	0	0	167148	210842	0	0	131879	0	8404
"7205_PRI_20_A6_P2"	"7205"	"PRI"	20	"A6"	"P2"	"CD56+ CD127-"	70.64	194085	1745	1.3	1.42	12.03	246.02	0.01	0.38	249	159	188830	190726	520140	157	0	0	736356	737	0.01	0.1	17.21	126715	1455	88607	0.02	298887	0	0	0	0	135225	232119	0	0	127833	0	10017
"7205_PRI_20_A7_P2"	"7205"	"PRI"	20	"A7"	"P2"	"CD56+ CD127-"	59.97	107804	818	1.33	1.56	20.69	245.64	0.01	0.33	249	38	103788	106329	284583	0	0	0	474557	0	0.01	0	19.34	91773	619	98201	0	177901	0	0	0	0	95627	169543	0	0	41531	0	4580
"7205_PRI_20_A8_P2"	"7205"	"PRI"	20	"A8"	"P2"	"CD56+ CD127-"	72.03	363547	2029	1.35	1.56	8.2	246.08	0.01	0.34	249	164	355391	359067	794127	80	0	0	1102423	331	0.01	0.03	19.73	217531	2287	90354	0.01	464420	0	0	0	0	265605	373891	0	0	155929	0	16064
"7205_PRI_20_A9_P2"	"7205"	"PRI"	20	"A9"	"P2"	"CD56- CD127+"	72.29	162983	855	1.31	1.51	12	246.07	0.01	0.33	249	167	159745	161139	463851	20	0	0	641679	192	0.01	0.03	15.69	100661	822	76955	0	263097	0	0	0	0	124213	186463	0	0	103743	0	10698
"7205_PRI_20_A10_P2"	"7205"	"PRI"	20	"A10"	"P2"	"CD56+ CD127-"	49.65	50863	487	1.32	1.48	15.98	244.67	0.01	0.31	249	9	48722	50002	527422	8	0	0	1062330	106	0.01	0.01	34.36	365056	365	169738	0	242059	0	0	0	0	432619	552517	0	0	85432	0	2882
"7205_PRI_20_A11_P2"	"7205"	"PRI"	20	"A11"	"P2"	"CD56+ CD127-"	64.22	498310	3318	1.35	1.58	8.75	245.77	0.01	0.32	249	373	488309	491497	1016987	312	0	0	1583633	950	0.01	0.06	26.95	426863	3122	138521	0.02	602716	0	0	0	0	480473	661264	0	0	179797	0	25979
"7205_PRI_20_A12_P2"	"7205"	"PRI"	20	"A12"	"P2"	"CD56+ CD127-"	67.65	155988	950	1.33	1.6	13.61	245.91	0.01	0.34	249	159	149983	153072	548703	34	0	0	811113	81	0.01	0.01	18.73	151919	1807	110376	0	286955	0	0	0	0	178226	269162	0	0	140940	0	9661
"7205_PRI_20_B1_P2"	"7205"	"PRI"	20	"B1"	"P2"	"CD56+ CD127-"	70.85	299776	2050	1.36	1.59	16.45	246.08	0.01	0.33	249	381	291533	295510	845215	54	0	0	1193009	238	0.01	0.02	12.69	151364	1835	196138	0	468865	0	0	0	0	233255	288650	0	0	188500	0	14061
"7205_PRI_20_B2_P2"	"7205"	"PRI"	20	"B2"	"P2"	"CD56+ CD127-"	62.06	76039	496	1.31	1.42	14.25	245.5	0.02	0.38	249	5	72501	74142	413539	55	0	0	666400	200	0.01	0.03	23.65	157607	1396	94999	0.01	200282	0	0	0	0	163477	271805	0	0	121446	0	4892
"7205_PRI_20_B3_P2"	"7205"	"PRI"	20	"B3"	"P2"	"CD56+ CD127-"	65.17	128358	1202	1.34	1.58	16.43	245.57	0.01	0.34	249	28	122124	125153	891312	144	0	0	1367613	410	0.01	0.03	18.35	250998	1975	224749	0.01	350904	0	0	0	0	371695	429007	0	0	292350	0	8534
"7205_PRI_20_B4_P2"	"7205"	"PRI"	20	"B4"	"P2"	"CD56+ CD127-"	62.16	295934	1304	1.29	1.43	11.23	245.89	0.01	0.33	249	386	288781	292709	701624	99	0	0	1128825	339	0.01	0.03	26.57	299981	1535	126782	0.01	407588	0	0	0	0	321865	486878	0	0	129781	0	14896
"7205_PRI_20_B5_P2"	"7205"	"PRI"	20	"B5"	"P2"	"CD56+ CD127-"	69.64	327450	2148	1.26	1.52	7.72	246.16	0.01	0.35	249	204	318851	322773	773672	33	0	0	1111035	333	0.01	0.03	22.61	251225	2325	85772	0	453034	0	0	0	0	263582	418513	0	0	175432	0	16171
"7205_PRI_20_B6_P2"	"7205"	"PRI"	20	"B6"	"P2"	"CD56+ CD127-"	64.12	200146	1382	1.3	1.52	14.43	245.97	0.01	0.39	249	175	195624	197341	496610	132	0	0	774470	155	0.01	0.02	21.41	165787	1248	111786	0.02	287452	0	0	0	0	161007	288277	0	0	117620	0	9288
"7205_PRI_20_B7_P2"	"7205"	"PRI"	20	"B7"	"P2"	"CD56+ CD127-"	60.75	133225	1080	1.36	1.58	15.97	245.68	0.01	0.36	249	238	127941	130593	502391	48	0	0	826970	248	0.01	0.03	23.25	192246	1314	132037	0.01	248686	0	0	0	0	196243	329171	0	0	145460	0	7707
"7205_PRI_20_B8_P2"	"7205"	"PRI"	20	"B8"	"P2"	"CD56+ CD127-"	70.81	374945	1834	1.4	1.63	7.25	245.98	0.01	0.35	249	102	363632	371011	874893	90	0	0	1235510	247	0.01	0.02	21.92	270778	1998	89502	0.01	511107	0	0	0	0	317039	455511	0	0	173699	0	19025
"7205_PRI_20_B9_P2"	"7205"	"PRI"	20	"B9"	"P2"	"CD56+ CD127-"	62.94	98204	967	1.4	1.61	15.81	245.84	0.01	0.36	249	38	93516	95620	490346	125	0	0	779113	390	0.01	0.05	21.19	165074	1579	123178	0.02	216673	0	0	0	0	166846	287786	0	0	179278	0	5714
"7205_PRI_20_B10_P2"	"7205"	"PRI"	20	"B10"	"P2"	"CD56- CD127+"	66.19	269318	2030	1.29	1.5	9.86	246	0.01	0.36	249	199	260304	265001	730572	67	0	0	1103786	110	0.01	0.01	23.94	264232	2088	108805	0.01	399154	0	0	0	0	288436	432709	0	0	169417	0	18009
"7205_PRI_20_B11_P2"	"7205"	"PRI"	20	"B11"	"P2"	"CD56+ CD127+"	65.56	189949	1099	1.37	1.51	15.69	246.03	0.01	0.35	249	53	185839	187444	446808	23	0	0	681484	204	0.01	0.03	18.72	127542	1353	106907	0	264680	0	0	0	0	126761	227277	0	0	100479	0	8648
"7205_PRI_20_B12_P2"	"7205"	"PRI"	20	"B12"	"P2"	"CD56+ CD127-"	64.52	230400	1199	1.35	1.59	13.49	245.96	0.01	0.34	249	222	223920	227447	582651	118	0	0	903038	181	0.01	0.02	21.96	198315	1532	121773	0.01	324735	0	0	0	0	212331	344667	0	0	128559	0	14277
"7205_PRI_20_C1_P2"	"7205"	"PRI"	20	"C1"	"P2"	"CD56+ CD127-"	67.98	265148	1949	1.34	1.51	9.15	245.98	0.02	0.35	249	181	257676	260813	692081	62	0	0	1018044	305	0.01	0.03	22.84	232489	2205	93107	0.01	386991	0	0	0	0	240282	388970	0	0	172964	0	13826
"7205_PRI_20_C2_P2"	"7205"	"PRI"	20	"C2"	"P2"	"CD56+ CD127-"	65.09	104838	1072	1.34	1.67	13.44	245.58	0.01	0.34	249	274	101205	102415	452536	1	0	0	695202	0	0.01	0	21.46	149178	1077	93487	0	228004	0	0	0	0	161685	261329	0	0	123565	0	7002
"7205_PRI_20_C3_P2"	"7205"	"PRI"	20	"C3"	"P2"	"CD56+ CD127-"	74.01	276087	2127	1.37	1.56	10.68	246.1	0.01	0.36	249	226	269301	271585	725055	54	0	0	979626	294	0.01	0.03	15.27	149609	2149	104614	0.01	405058	0	0	0	0	201083	272166	0	0	168220	0	14650
"7205_PRI_20_C4_P2"	"7205"	"PRI"	20	"C4"	"P2"	"CD56+ CD127-"	59.72	34615	456	1.19	1.35	13.31	245.13	0.02	0.34	249	2	32647	33076	400398	76	0	0	670505	134	0.01	0.02	26.94	180625	1081	89272	0.01	182020	0	0	0	0	201123	295479	0	0	108901	0	2570
"7205_PRI_20_C5_P2"	"7205"	"PRI"	20	"C5"	"P2"	"CD56+ CD127-"	70.18	231905	1241	1.35	1.59	10.85	246.16	0.01	0.35	249	230	226404	229119	556568	66	0	0	793033	238	0.01	0.03	18.94	150165	1315	85996	0.01	330045	0	0	0	0	160990	264871	0	0	121241	0	11465
"7205_PRI_20_C6_P2"	"7205"	"PRI"	20	"C6"	"P2"	"CD56+ CD127-"	55.01	48296	511	1.35	1.57	19.32	245.38	0.01	0.38	249	74	46414	47168	310162	13	0	0	563816	113	0.01	0.02	25.65	144599	543	108929	0	160633	0	0	0	0	137293	245705	0	0	77526	0	3434
"7205_PRI_20_C7_P2"	"7205"	"PRI"	20	"C7"	"P2"	"CD56+ CD127-"	71.83	254571	1285	1.37	1.56	12.03	246.11	0.01	0.34	249	145	248022	251929	660653	105	0	0	919697	368	0.01	0.04	16.08	147890	1212	110681	0.01	376845	0	0	0	0	185220	267907	0	0	149557	0	12784
"7205_PRI_20_C8_P2"	"7205"	"PRI"	20	"C8"	"P2"	"CD56- CD127+"	65.07	255036	1902	1.3	1.53	11.21	245.91	0.01	0.35	249	54	248820	252162	556419	139	0	0	855089	684	0.01	0.08	23.63	202050	918	95797	0.02	341303	0	0	0	0	213335	346146	0	0	91723	0	11547
"7205_PRI_20_C9_P2"	"7205"	"PRI"	20	"C9"	"P2"	"CD56+ CD127-"	70.41	202413	1303	1.28	1.55	12.1	245.86	0.01	0.35	249	60	196506	200233	521435	57	0	0	740610	74	0.01	0.01	17.48	129441	817	89603	0.01	313067	0	0	0	0	159639	244717	0	0	93295	0	8270
"7205_PRI_20_C10_P2"	"7205"	"PRI"	20	"C10"	"P2"	"CD56+ CD127-"	70.83	321251	2763	1.36	1.54	11.02	246.1	0.01	0.36	249	329	312549	316417	718732	321	0	0	1014747	406	0.01	0.04	18.08	183422	1742	111866	0.03	425902	0	0	0	0	207976	331409	0	0	152240	0	13950
"7205_PRI_20_C11_P2"	"7205"	"PRI"	20	"C11"	"P2"	"CD56+ CD127-"	64.69	320544	1876	1.49	1.65	7.98	245.72	0.01	0.37	249	278	311791	316340	750180	155	0	0	1159652	1043	0.01	0.09	27.23	315779	2050	92495	0.01	412553	0	0	0	0	292794	528073	0	0	198673	0	24747
"7205_PRI_20_C12_P2"	"7205"	"PRI"	20	"C12"	"P2"	"CD56+ CD127-"	69.3	229259	1692	1.28	1.48	11.71	246.06	0.01	0.37	249	207	223215	226212	532064	42	0	0	767737	230	0.01	0.03	18.95	145521	1148	89880	0.01	324574	0	0	0	0	150668	262671	0	0	107820	0	9971
"7205_PRI_20_D1_P2"	"7205"	"PRI"	20	"D1"	"P2"	"CD56+ CD127-"	92.59	4	0	0	0	3.7	247.96	0	1.19	249	0	4	4	25	0	0	0	27	0	0	0	3.7	1	0	1	0	8	0	0	0	0	0	2	0	0	17	0	0
"7205_PRI_20_D2_P2"	"7205"	"PRI"	20	"D2"	"P2"	"CD56+ CD127-"	66.67	1	0	0	0	11.11	242.67	0	0.48	249	0	1	1	6	0	0	0	9	0	0	0	22.22	2	0	1	0	6	0	0	0	0	0	5	0	0	0	0	0
"7205_PRI_20_D3_P2"	"7205"	"PRI"	20	"D3"	"P2"	"CD56+ CD127-"	66.67	7	1	0	1	9.52	243	0.06	0.35	249	0	7	6	14	0	0	0	21	0	0	0	23.81	5	0	2	0	10	0	0	0	0	0	10	0	0	4	0	0
"7205_PRI_20_D4_P2"	"7205"	"PRI"	20	"D4"	"P2"	"CD56- CD127+"	60	1	0	0	0	30	248.17	0	0.81	249	0	1	1	6	0	0	0	10	0	0	0	10	1	0	3	0	5	0	0	0	0	0	2	0	0	1	0	0
"7205_PRI_20_D5_P2"	"7205"	"PRI"	20	"D5"	"P2"	"CD56+ CD127-"	62.5	3	0	0	1	12.5	245.2	0.04	1.75	248	0	3	3	10	0	0	0	16	0	0	0	25	4	0	2	0	6	0	0	0	0	0	9	0	0	4	0	0
"7205_PRI_20_D6_P2"	"7205"	"PRI"	20	"D6"	"P2"	"CD56+ CD127-"	50	5	0	0	0	10	248	0	0.56	248	0	5	5	5	0	0	0	10	0	0	0	40	4	0	1	0	3	0	0	0	0	0	8	0	0	2	0	0
"7205_PRI_20_D7_P2"	"7205"	"PRI"	20	"D7"	"P2"	"CD56+ CD127-"	82.14	2	0	0	2	8.93	248.89	0.02	0.63	249	0	2	2	46	0	0	0	56	0	0	0	8.93	5	0	5	0	2	0	0	0	0	5	10	0	0	39	0	0
"7205_PRI_20_D8_P2"	"7205"	"PRI"	20	"D8"	"P2"	"CD56+ CD127-"	76.19	4	0	0	0	2.38	245.25	0	1.07	249	0	4	4	32	0	0	0	42	0	0	0	21.43	9	0	1	0	9	0	0	0	0	3	17	0	0	21	0	0
"7205_PRI_20_D9_P2"	"7205"	"PRI"	20	"D9"	"P2"	"CD56+ CD127-"	71.43	1	0	0	0	21.43	243.8	0	3.04	249	0	1	1	10	0	0	0	14	0	0	0	7.14	1	0	3	0	5	0	0	0	0	0	2	0	0	5	0	0
"7205_PRI_20_D10_P2"	"7205"	"PRI"	20	"D10"	"P2"	"CD56+ CD127-"	83.33	3	0	0	0	0	244.2	0	1.56	249	0	3	3	10	0	0	0	12	0	0	0	16.67	2	0	0	0	8	0	0	0	0	0	4	0	0	2	0	0
"7205_PRI_20_D11_P2"	"7205"	"PRI"	20	"D11"	"P2"	"CD56+ CD127-"	31.25	5	0	2	1	6.25	248.8	0.08	0.64	249	0	5	5	5	0	0	0	16	0	0.16	0	62.5	10	0	1	0	5	0	0	0	0	0	22	0	0	0	0	0
"7205_PRI_20_D12_P2"	"7205"	"PRI"	20	"D12"	"P2"	"CD56+ CD127-"	60	6	0	0	0	30	249.67	0	0.27	249	0	6	6	6	0	0	0	10	0	0	0	10	1	0	3	0	4	0	0	0	0	0	2	0	0	2	0	0
"7205_PRI_20_E1_P2"	"7205"	"PRI"	20	"E1"	"P2"	"CD56+ CD127-"	60.11	277141	1883	1.31	1.52	14.46	245.95	0.01	0.36	249	447	268494	273665	511808	134	0	0	851470	766	0.01	0.09	25.33	215673	1146	123089	0.02	328699	0	0	0	0	194543	366357	0	0	85790	0	12750
"7205_PRI_20_E2_P2"	"7205"	"PRI"	20	"E2"	"P2"	"CD56+ CD127-"	61.72	125751	1231	1.31	1.56	19.36	245.87	0.01	0.38	249	107	122241	123864	339411	86	0	0	549916	440	0.01	0.08	18.83	103541	549	106438	0.02	201408	0	0	0	0	101457	195386	0	0	69824	0	5828
"7205_PRI_20_E3_P2"	"7205"	"PRI"	20	"E3"	"P2"	"CD56- CD127+"	62.86	268941	1225	1.37	1.5	10.46	246.08	0.01	0.37	249	252	259623	265332	756838	275	0	0	1203941	241	0.01	0.02	26.64	320677	2132	125910	0.02	415503	0	0	0	0	324138	521050	0	0	184929	0	14382
"7205_PRI_20_E4_P2"	"7205"	"PRI"	20	"E4"	"P2"	"CD56+ CD127-"	65.98	207741	1457	1.34	1.52	12.71	245.91	0.01	0.35	249	345	200883	204703	583473	101	0	0	884367	177	0.01	0.02	21.28	188169	1236	112447	0.01	321539	0	0	0	0	200060	334223	0	0	137073	0	12710
"7205_PRI_20_E5_P2"	"7205"	"PRI"	20	"E5"	"P2"	"CD56+ CD127-"	62.47	52985	421	1.31	1.56	21.01	245.87	0.01	0.38	249	60	51207	51946	195414	30	0	0	312807	94	0.01	0.03	16.48	51561	558	65708	0.01	111761	0	0	0	0	43505	100358	0	0	51632	0	2996
"7205_PRI_20_E6_P2"	"7205"	"PRI"	20	"E6"	"P2"	"CD56+ CD127-"	68.27	232797	1873	1.32	1.55	16.27	246.19	0.01	0.39	249	92	224419	229332	670495	211	0	0	982178	1178	0.01	0.12	15.32	150514	1500	159780	0.02	379421	0	0	0	0	188879	290869	0	0	156306	0	10093
"7205_PRI_20_E7_P2"	"7205"	"PRI"	20	"E7"	"P2"	"CD56+ CD127-"	64.8	174939	1177	1.29	1.64	13.73	245.88	0.01	0.37	249	209	167543	171948	508640	7	0	0	784945	157	0.01	0.02	21.45	168397	1605	107744	0	274941	0	0	0	0	170179	297204	0	0	130658	0	8775
"7205_PRI_20_E8_P2"	"7205"	"PRI"	20	"E8"	"P2"	"CD56+ CD127-"	64.32	116316	710	1.35	1.53	18.39	246.02	0.01	0.38	249	21	112112	114673	372153	56	0	0	578564	174	0.01	0.03	17.25	99781	912	106400	0.01	204066	0	0	0	0	94585	194535	0	0	100861	0	7672
"7205_PRI_20_E9_P2"	"7205"	"PRI"	20	"E9"	"P2"	"CD56+ CD127-"	67.53	462624	3003	1.34	1.58	8.27	246.27	0.01	0.37	249	624	453014	456887	902554	34	0	0	1336480	0	0.01	0	24.19	323335	2110	110557	0	562400	0	0	0	0	335515	527065	0	0	166300	0	21603
"7205_PRI_20_E10_P2"	"7205"	"PRI"	20	"E10"	"P2"	"CD56+ CD127-"	66.95	255655	1920	1.39	1.66	12.93	246.07	0.01	0.36	249	181	247749	251556	765082	231	0	0	1142689	914	0.01	0.08	20.02	228714	1998	147748	0.02	416001	0	0	0	0	258447	394809	0	0	191570	0	13270
"7205_PRI_20_E11_P2"	"7205"	"PRI"	20	"E11"	"P2"	"CD56+ CD127-"	65.49	295949	1628	1.34	1.54	13.36	246.24	0.01	0.35	249	210	288662	292303	725911	26	0	0	1108421	222	0.01	0.02	21.13	234186	1808	148076	0	422496	0	0	0	0	245154	395874	0	0	164883	0	14141
"7205_PRI_20_E12_P2"	"7205"	"PRI"	20	"E12"	"P2"	"CD56+ CD127-"	69.15	375375	2260	1.28	1.54	14.42	246.27	0.01	0.38	249	354	366581	370524	905626	23	0	0	1309734	262	0.01	0.02	16.41	214978	2237	188845	0	528935	0	0	0	0	265117	385094	0	0	193604	0	18962
"7205_PRI_20_F1_P2"	"7205"	"PRI"	20	"F1"	"P2"	"CD56+ CD127-"	65.92	391741	3252	1.3	1.51	9.96	246.09	0.01	0.33	249	176	383077	386168	905410	139	0	0	1373469	412	0.01	0.03	24.08	330727	2145	136781	0.01	507570	0	0	0	0	358653	537711	0	0	211286	0	20738
"7205_PRI_20_F2_P2"	"7205"	"PRI"	20	"F2"	"P2"	"CD56+ CD127-"	63.74	426922	2049	1.37	1.67	6.18	245.79	0.02	0.36	249	338	414923	421301	945671	286	0	0	1483703	889	0.01	0.06	30.01	445291	3234	91566	0.02	512514	0	0	0	0	435971	721002	0	0	245428	0	28323
"7205_PRI_20_F3_P2"	"7205"	"PRI"	20	"F3"	"P2"	"CD56- CD127+"	63.47	507191	2720	1.39	1.62	6.17	245.87	0.01	0.37	249	381	495460	500950	996609	103	0	0	1570259	628	0.01	0.04	30.31	476011	3140	96908	0.01	563272	0	0	0	0	486482	772166	0	0	214434	0	30835
"7205_PRI_20_F4_P2"	"7205"	"PRI"	20	"F4"	"P2"	"CD56+ CD127-"	65.45	180245	1524	1.31	1.63	11.2	246.08	0.01	0.36	249	131	174252	177331	514970	32	0	0	786874	157	0.01	0.02	23.34	183633	1259	88082	0	285786	0	0	0	0	173775	307589	0	0	136334	0	10165
"7205_PRI_20_F5_P2"	"7205"	"PRI"	20	"F5"	"P2"	"CD56- CD127+"	36.88	8415	158	1.36	1.44	28.03	244.45	0.01	0.31	249	1	8098	8167	229177	20	0	0	621440	124	0.01	0.02	35.07	217939	89	174180	0	124902	0	0	0	0	208210	336856	0	0	20890	0	819
"7205_PRI_20_F6_P2"	"7205"	"PRI"	20	"F6"	"P2"	"CD56+ CD127-"	43.81	71211	488	1.2	1.37	21.23	244.64	0.01	0.38	249	131	67805	70156	286993	20	0	0	655116	66	0.01	0.01	34.95	228935	436	139102	0	162114	0	0	0	0	207495	366929	0	0	43560	0	2901
"7205_PRI_20_F7_P2"	"7205"	"PRI"	20	"F7"	"P2"	"CD56+ CD127-"	63.68	186193	1489	1.29	1.47	13.69	245.93	0.01	0.35	249	120	179877	183666	341148	22	0	0	535760	54	0.01	0.01	22.62	121193	918	73343	0	228528	0	0	0	0	107678	216411	0	0	46656	0	9639
"7205_PRI_20_F8_P2"	"7205"	"PRI"	20	"F8"	"P2"	"CD56+ CD127-"	65	354949	2582	1.39	1.55	10.27	246.22	0.01	0.36	249	209	344384	350595	656882	149	0	0	1010574	505	0.01	0.05	24.67	249259	1563	103779	0.01	416676	0	0	0	0	229724	413686	0	0	126023	0	16646
"7205_PRI_20_F9_P2"	"7205"	"PRI"	20	"F9"	"P2"	"CD56+ CD127-"	60.53	85621	643	1.33	1.62	17.69	245.92	0.01	0.36	249	76	82651	84173	289410	12	0	0	478123	0	0.01	0	21.77	104098	729	84603	0	161528	0	0	0	0	89553	186257	0	0	76143	0	4432
"7205_PRI_20_F10_P2"	"7205"	"PRI"	20	"F10"	"P2"	"CD56+ CD127-"	60.06	100050	539	1.26	1.52	14.93	245.6	0.01	0.36	249	115	96864	98749	373948	60	0	0	622588	62	0.01	0.01	24.99	155577	647	92941	0.01	195423	0	0	0	0	146058	271208	0	0	98912	0	6065
"7205_PRI_20_F11_P2"	"7205"	"PRI"	20	"F11"	"P2"	"CD56+ CD127-"	55.13	173868	1342	1.45	1.52	18.8	246.02	0.01	0.36	249	127	167724	171100	443977	6	0	0	805373	81	0.01	0.01	26.06	209882	1299	151427	0	268696	0	0	0	0	185612	349380	0	0	91563	0	7620
"7205_PRI_20_F12_P2"	"7205"	"PRI"	20	"F12"	"P2"	"CD56+ CD127-"	63.79	146251	1247	1.27	1.61	13.92	246.03	0.01	0.35	249	14	141250	143814	593759	263	0	0	930835	372	0.01	0.04	22.23	206909	1176	129532	0.03	302191	0	0	0	0	218757	350334	0	0	171373	0	8685
"7205_PRI_20_G1_P2"	"7205"	"PRI"	20	"G1"	"P2"	"CD56+ CD127-"	68.98	295146	1808	1.28	1.5	6.98	246.01	0.01	0.35	249	115	286702	291040	867272	215	0	0	1257328	503	0.01	0.04	23.98	301550	2183	87788	0.02	444738	0	0	0	0	316547	509032	0	0	254850	0	16305
"7205_PRI_20_G2_P2"	"7205"	"PRI"	20	"G2"	"P2"	"CD56+ CD127-"	69.07	308001	2325	1.32	1.44	7.05	245.95	0.01	0.38	249	88	297651	303461	785360	104	0	0	1137092	114	0.01	0.01	23.86	271288	2127	80226	0.01	446054	0	0	0	0	314383	460115	0	0	153702	0	16110
"7205_PRI_20_G3_P2"	"7205"	"PRI"	20	"G3"	"P2"	"CD56+ CD127-"	67.33	478700	2803	1.39	1.5	15.65	246.24	0.01	0.38	249	279	465736	472732	1086722	173	0	0	1613973	968	0.01	0.06	16.95	273603	2886	252507	0.01	617151	0	0	0	0	360544	463960	0	0	231734	0	20580
"7205_PRI_20_G4_P2"	"7205"	"PRI"	20	"G4"	"P2"	"CD56+ CD127-"	66.5	331588	2196	1.34	1.46	7.07	245.92	0.01	0.34	249	332	322471	326553	872653	14	0	0	1312318	263	0.01	0.02	26.41	346541	2507	92847	0	477668	0	0	0	0	395299	563252	0	0	188536	0	16112
"7205_PRI_20_G5_P2"	"7205"	"PRI"	20	"G5"	"P2"	"CD56+ CD127-"	67.94	439053	3076	1.34	1.54	7	246.18	0.01	0.35	249	282	428699	433018	948242	114	0	0	1395637	558	0.01	0.04	25.01	349022	2677	97701	0.01	566554	0	0	0	0	379973	566802	0	0	188096	0	19932
"7205_PRI_20_G6_P2"	"7205"	"PRI"	20	"G6"	"P2"	"CD56+ CD127-"	66.26	162566	1070	1.41	1.46	12.08	245.95	0.01	0.38	249	41	158745	160418	443484	22	0	0	669352	201	0.01	0.03	21.64	144833	1037	80812	0	258406	0	0	0	0	143680	250861	0	0	98444	0	8872
"7205_PRI_20_G7_P2"	"7205"	"PRI"	20	"G7"	"P2"	"CD56+ CD127-"	68.82	209109	1290	1.29	1.53	11.62	245.97	0.01	0.35	249	157	203289	206366	572428	63	0	0	831725	166	0.01	0.02	19.52	162364	1296	96704	0.01	317233	0	0	0	0	186283	286780	0	0	131924	0	11788
"7205_PRI_20_G8_P2"	"7205"	"PRI"	20	"G8"	"P2"	"CD56+ CD127-"	63.93	305819	2028	1.3	1.47	7.42	246.02	0.01	0.36	249	280	299920	302357	551124	85	0	0	862124	345	0.01	0.04	28.61	246612	1154	63958	0.01	353378	0	0	0	0	223802	401800	0	0	95027	0	13961
"7205_PRI_20_G9_P2"	"7205"	"PRI"	20	"G9"	"P2"	"CD56+ CD127-"	65.02	285075	1548	1.3	1.5	8.29	246.12	0.01	0.34	249	344	276749	281358	696663	8	0	0	1071421	214	0.01	0.02	26.67	285714	1825	88822	0	405733	0	0	0	0	280403	478000	0	0	150712	0	14245
"7205_PRI_20_G10_P2"	"7205"	"PRI"	20	"G10"	"P2"	"CD56+ CD127-"	66.74	377939	2212	1.38	1.61	5.48	246.17	0.01	0.34	249	239	365716	372689	967811	67	0	0	1450146	290	0.01	0.02	27.76	402552	2799	79426	0	521692	0	0	0	0	434618	636989	0	0	244837	0	13181
"7205_PRI_20_G11_P2"	"7205"	"PRI"	20	"G11"	"P2"	"CD56+ CD127-"	61.59	241682	1876	1.36	1.47	12.71	246.18	0.01	0.37	249	295	233165	237795	585886	49	0	0	951211	95	0.01	0.01	25.69	244346	1716	120835	0.01	339246	0	0	0	0	222674	417631	0	0	141197	0	11660
"7205_PRI_20_G12_P2"	"7205"	"PRI"	20	"G12"	"P2"	"CD56+ CD127-"	63.93	228782	1732	1.27	1.48	11.69	245.98	0.01	0.35	249	6	221648	225299	610867	123	0	0	955495	287	0.01	0.03	24.33	232494	1745	111724	0.01	344709	0	0	0	0	234778	413689	0	0	138106	0	12262
"7205_PRI_20_H1_P2"	"7205"	"PRI"	20	"H1"	"P2"	"CD56+ CD127-"	66.79	278931	1864	1.28	1.53	9.52	246.11	0.01	0.34	249	106	272442	275406	697628	89	0	0	1044558	418	0.01	0.04	23.64	246943	1555	99480	0.01	424737	0	0	0	0	262229	410382	0	0	129411	0	14697
"7205_PRI_20_H2_P2"	"7205"	"PRI"	20	"H2"	"P2"	"CD56+ CD127-"	63.54	516041	3812	1.31	1.43	10.7	246.04	0.01	0.46	249	458	506773	509471	910116	92	0	0	1432455	287	0.01	0.02	25.74	368681	2300	153279	0.01	568145	0	0	0	0	373347	589503	0	0	163395	0	24479
"7205_PRI_20_H3_P2"	"7205"	"PRI"	20	"H3"	"P2"	"CD56+ CD127-"	63.46	293916	1701	1.33	1.6	12.46	245.96	0.01	0.37	249	195	285688	289759	884627	193	0	0	1393940	697	0.01	0.05	24.02	334807	2261	173616	0.01	450765	0	0	0	0	368164	547527	0	0	246426	0	14497
