"pt_id"	"type"	"prep_no"	"sort_well"	"sort_plate"	"FACS_code"	"uniquely_mapped_percent"	"num_splices"	"num_GCAG_splices"	"insertion_length"	"deletion_length"	"unmapped_tooshort_percent"	"avg_mapped_read_length"	"deletion_rate"	"mismatch_rate"	"avg_input_read_length"	"num_ATAC_splices"	"num_annotated_splices"	"num_GTAG_splices"	"uniquely_mapped"	"multimapped_toomany"	"unmapped_mismatches"	"unmapped_mismatches_percent"	"total_reads"	"unmapped_other"	"insertion_rate"	"unmapped_other_percent"	"multimapped_percent"	"multimapped"	"num_noncanonical_splices"	"unmapped_tooshort"	"multimapped_toomany_percent"	"Assigned"	"Unassigned_Unmapped"	"Unassigned_MappingQuality"	"Unassigned_Chimera"	"Unassigned_FragmentLength"	"Unassigned_Duplicate"	"Unassigned_MultiMapping"	"Unassigned_Secondary"	"Unassigned_NonSplit"	"Unassigned_NoFeatures"	"Unassigned_Overlapping_Length"	"Unassigned_Ambiguity"
"7202_PRI_34_D8_P2"	"7202"	"PRI"	34	"D8"	"P2"	"CD56+ CD127-"	57.28	149304	925	1.36	1.6	18.82	295.05	0.01	0.48	301	76	143960	147303	310596	127	0	0	542265	542	0.01	0.1	23.77	128903	1000	102097	0.02	193708	0	0	0	0	114027	220281	0	0	55832	0	9327
"7202_PRI_34_D9_P2"	"7202"	"PRI"	34	"D9"	"P2"	"CD56+ CD127-"	58.22	94633	702	1.26	1.74	18.43	294.99	0.01	0.49	301	113	92158	93446	138281	6	0	0	237509	24	0.01	0.01	23.33	55417	372	43781	0	99459	0	0	0	0	35038	102016	0	0	19394	0	3936
"7202_PRI_34_D10_P2"	"7202"	"PRI"	34	"D10"	"P2"	"CD56+ CD127-"	56.36	71368	618	1.3	1.63	22.07	295.05	0.01	0.49	301	54	69401	70363	137841	14	0	0	244576	98	0.01	0.04	21.53	52650	333	53973	0.01	90474	0	0	0	0	36184	96281	0	0	25266	0	4220
"7202_PRI_34_D11_P2"	"7202"	"PRI"	34	"D11"	"P2"	"CD56+ CD127-"	63.38	251272	1770	1.29	1.51	11.97	295.08	0.01	0.57	301	220	244733	248519	281736	7	0	0	444524	44	0.01	0.01	24.64	109511	763	53226	0	202862	0	0	0	0	80078	197424	0	0	32651	0	12639
"7202_PRI_34_D12_P2"	"7202"	"PRI"	34	"D12"	"P2"	"CD56+ CD127-"	55.65	57357	430	1.38	1.56	23.43	295.11	0.01	0.51	301	33	55162	56613	111011	25	0	0	199485	180	0.01	0.09	20.82	41535	281	46734	0.01	75977	0	0	0	0	25668	78712	0	0	19349	0	2637
"7202_PRI_34_E1_P2"	"7202"	"PRI"	34	"E1"	"P2"	"CD56+ CD127-"	61.04	300488	1989	1.29	1.56	21.39	295.24	0.01	0.52	301	200	294597	297327	398357	17	0	0	652583	65	0.01	0.01	17.56	114564	972	139580	0	273973	0	0	0	0	109097	207565	0	0	50680	0	13337
"7202_PRI_34_E2_P2"	"7202"	"PRI"	34	"E2"	"P2"	"CD56+ CD127-"	58.12	188988	1441	1.38	1.5	15.43	295.22	0.01	0.62	301	97	183429	186626	276852	26	0	0	476371	286	0.01	0.06	26.39	125700	824	73507	0.01	184522	0	0	0	0	88788	216883	0	0	52354	0	9079
"7202_PRI_34_E3_P2"	"7202"	"PRI"	34	"E3"	"P2"	"CD56+ CD127-"	59.81	191282	1414	1.28	1.56	17.83	295.4	0.01	0.52	301	150	186690	189069	244477	11	0	0	408766	82	0.01	0.02	22.34	91310	649	72886	0	173178	0	0	0	0	65020	159920	0	0	36703	0	7927
"7202_PRI_34_E5_P2"	"7202"	"PRI"	34	"E5"	"P2"	"CD56+ CD127-"	59.22	207497	1318	1.39	1.44	18.49	295.41	0.01	0.48	301	110	201865	205268	282009	32	0	0	476222	95	0.01	0.02	22.27	106044	801	88042	0.01	194962	0	0	0	0	83574	194209	0	0	39898	0	9312
"7202_PRI_34_E6_P2"	"7202"	"PRI"	34	"E6"	"P2"	"CD56+ CD127-"	54.9	104050	695	1.37	1.58	20.32	295.1	0.01	0.47	301	95	100834	102672	229546	26	0	0	418122	293	0.01	0.07	24.7	103286	588	84971	0.01	140234	0	0	0	0	85055	178303	0	0	45658	0	5567
